,file_name,WasThereText?,IsThereGrey,SentenceWithGrey,IsThereUnpublished,SentenceWithUnpublished,IsThereNonTraditional,IsThereNonTraditionalLIT,GIST,
16,2022.0_A lifespan development perspective and meta?analysis on the relationship between age and organizational training.pdf,YES,NO,NA,NO,NA,NO,NO,3,
17,"2019.0_Effect declines are systematic, strong, and ubiquitous: A meta-meta-analysis of the decline effect in intelligence research.pdf",NO,NA,NA,NA,NA,NA,NA,3,
18,"2019.0_The relationship between burnout, depression, and anxiety: A systematic review and meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
19,2019.0_The effect of mindfulness interventions for parents on parenting stress and youth psychological outcomes: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
20,2019.0_Meta-bias: A practical theory of motivated thinking.pdf,YES,NO,NA,NO,NA,NO,NO,3,
21,2021.0_Associations between lifestyle interventions during pregnancy and childhood weight and growth: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
22,2019.0_Are effect sizes in emotional intelligence field declining? A meta-meta analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
23,"2019.0_Untangling intelligence, psychopathy, antisocial personality disorder, and conduct problems: a metaanalytic review.pdf",YES,YES,"“Australia/New Zealand” (Decuyper et al. 2009).  
Publication type . This was coded as “published data” and “unpublished data”. The latter was 
grey literature, that is, PhD Dissertations and d ata reported by authors via email, not reported 
in a published article.  
Selection and calculation of effect sizes  
 The collected data (mainly Pearson correlations) were analyzed using Fisher’s Z -",NO,NA,NO,NO,1,
24,2020.0_Differential insular cortex sub-regional atrophy in neurodegenerative diseases: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
25,2020.0_Smartphone applications targeting borderline personality disorder symptoms: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
26,2023.0_Â to Support Physical Activity and Sedentary Behaviour in Adults after Stroke: A Systematic Literature Review with Meta-Analysis of Controlled Trials.pdf,NO,NA,NA,NA,NA,NA,NA,3,
27,2020.0_Reviewing the literature on flipped mathematics instruction: A qualitative metaÂanalysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
28,2021.0_Is loneliness in emerging adults increasing over time? A preregistered cross-temporal meta-analysis and systematic review..pdf,YES,NO,NA,NO,NA,NO,NO,3,
29,2023.0_A meta-analysis study on peer influence and adolescent substance use.pdf,NO,NA,NA,NA,NA,NA,NA,3,
30,2019.0_Internet-delivered cognitive behaviour therapy for chronic health conditions: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
31,2023.0_Physical activity and cortisol regulation: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
32,2020.0_Romantic attachment style and borderline personality pathology: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
33,2021.0_Does the privacy paradox exist? Comment on Yu et al.'s (2020) meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
34,2018.0_Efficacy of metacognitive therapy in improving mental health: A meta?analysis of single?case studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
35,2021.0_Long-term outcomes of psychological treatment for posttraumatic stress disorder: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
36,2021.0_The role of vocabulary knowledge on inference generation: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
37,2022.0_The relationship between adult attachment and mental health: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
38,2022.0_Behavioral Lifestyles and survival: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
39,2021.0_Post-traumatic stress disorder in parents following their child's single-event trauma: A meta-analysis of prevalence rates and risk factor correlates.pdf,NO,NA,NA,NA,NA,NA,NA,3,
40,2019.0_Do people who feel connected to nature do more to protect it? A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
41,2018.0_Effects of Parent-implemented interventions on outcomes for children with developmental disabilities: a meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
42,2018.0_The prevalence of depression in general hospital inpatients: a systematic review and meta-analysis of interview-based studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
43,2022.0_Do growth mindset interventions impact students' academic achievement? A systematic review and meta-analysis with recommendations for best practices..pdf,YES,NO,NA,NO,NA,NO,NO,3,
44,"2020.0_Servant leadership: A meta?analytic examination of incremental contribution, moderation, and mediation.pdf",YES,NO,NA,NO,NA,NO,NO,3,
45,2021.0_What matters in citizen satisfaction with police: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
46,2018.0_Taxing the brain to uncover lying? Meta-analyzing the effect of imposing cognitive load on the reaction-time costs of lying.pdf,YES,NO,NA,NO,NA,NO,NO,3,
47,2020.0_What is the minimum number of effect sizes required in meta-regression? An estimation based on statistical power and estimation precision.pdf,YES,NO,NA,NO,NA,NO,NO,3,
48,"2020.0_Anxiety and emotional intelligence: Comparisons between combat sports, gender and levels using the trait meta-mood scale and the inventory of situations Â.pdf",NO,NA,NA,NA,NA,NA,NA,3,
49,2018_Anxiety sensitivity and suicidal ideation-suicide risk: A meta-analysis..pdf,NO,NA,NA,NA,NA,NA,NA,3,
50,2020.0_Autistic spectrum disorder symptoms in children and adolescents with attention-deficit-hyperactivity disorder: a meta-analytical review.pdf,YES,NO,NA,NO,NA,NO,NO,3,
51,2020.0_Meta-analytic clustering dissociates brain activity and behavior profiles across reward processing paradigms.pdf,NO,NA,NA,NA,NA,NA,NA,3,
52,2021.0_The predictive power of expressed emotion and its components in relapse of schizophrenia: a meta-analysis and meta-regression.pdf,YES,YES," 
Search strategy  
Potential research articles, grey literatures, and ongoing studies were identified from eight 
databases including Web of Science Core Collection (1956 –2020), PsycINFO (1806 –2020), 
MEDLINE (1946 –2020), EMBASE (1947 –2020), CENTRAL (1908 –2020), CNKI (1984 –
2020), Airiti Library (1991 –2020), ProQuest Dissertation & These A&I (1743 –2020), and two ",NO,NA,NO,NO,1,
53,2023.0_Music therapy effect on anxiety reduction among patients with cancer: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
54,2020.0_Memory in autism spectrum disorder: A meta-analysis of experimental studies..pdf,YES,NO,NA,NO,NA,NO,NO,3,
55,2022.0_Meta-analysis of digital-based learning to improve learning outcomes.pdf,YES,NO,NA,NO,NA,NO,NO,3,
56,2020.0_A meta-analysis of linguistic markers of extraversion: Positive emotion and social process words.pdf,YES,NO,NA,NO,NA,NO,NO,3,
57,2018.0_Disparities in the management of cardiovascular risk factors in patients with psychiatric disorders: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
58,2021.0_Effects of mindfulness-based interventions on self-compassion: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
59,2022.0_Disrupted sleep and risk of depression in later life: A prospective cohort study with extended follow up and a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
60,"2018.0_ activity interventions for treatment of social isolation, loneliness or low social support in older adults: A systematic review and meta-analysis of randomised controlled .pdf",YES,YES,"EMBASE , PsycINFO, the Cochrane Central , CINAHL.  Databases were searched 
twice, with the second search conducted in February 2017, to ensure that newly published articles were included (Moher et al., 2015)  (Appendix D).  Other resources 
included the grey literature (PQDT Global, 2017; Social care institute for excellence , 
2017; System for Information on Grey Literature in Europe , 2017; World Health 
Organization, 2017) , and a hand search of the reference lists of relevant reviews, 
citation tracking, peer reviewed journal articles, books, dissertation theses and conference proceedings.  Searches of articles were limited to RCTs . No restrictions ",NO,NA,NO,NO,1,
61,2023.0_Effects of action video game play on cognitive skills: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
62,2021.0_The impact of social determinants of health on medication adherence: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
63,2021.0_The effectiveness of peer-support for people living with HIV: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
64,2020.0_A Meta-Analysis of Comparing the Efficacy of the Third Wave of Behavior Therapies on Depression in Iran: Comparing Acceptance and Commitment Therapy Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
65,"2022.0_Gender, socioeconomic status, cultural differences, education, family size and procrastination: A sociodemographic meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
66,2021.0_The inflammatory bowel disease transcriptome and metatranscriptome meta-analysis (IBD TaMMA) framework.pdf,NO,NA,NA,NA,NA,NA,NA,3,
67,2022.0_Dance activity interventions targeting cognitive functioning in older adults with mild cognitive impairment: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
68,2020.0_p-Hacking and publication bias interact to distort meta-analytic effect size estimates..pdf,YES,NO,NA,NO,NA,NO,NO,3,
69,2019.0_Considerations for power in meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
70,2018.0_Parenting programs to reduce young Children's externalizing behavior: a meta-analytic review of their behavioral or cognitive orientation.pdf,YES,NO,NA,NO,NA,NO,NO,3,
71,2019.0_Â the effects of context valence and feedback information on speed and accuracy during reinforcement learning: a meta-analytical approach using diffusion Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
72,2022.0_Risk-thresholds for the association between frequency of cannabis use and the development of psychosis: a systematic review and meta-analysis.pdf,YES,YES,"inclusion. This cut-off was chosen in part because cannabispotency as a known predictor of use-related psychosis outcomesand has steadily increased in recent years (Sideli et al., 2020 ).
For example, the potency of cannabis in Europe has been reportedto have doubled from 8.9% tetrahydrocannabinol (THC) in2008 to over 17% THC in 2017, while cannabidiol (CBD) levelsremained stable (Chandra et al., 2019 ). No restrictions were
placed on participants age or publication language. Grey litera-ture, such as conference abstracts and dissertations were notexcluded from database searches (e.g. Web of Science CoreCollection). Additional sources of grey literature, such as govern-ment websites and clinical trial repositories, were not consideredfor this review due to the fact that randomized trials and organ-izational reports would not contain the type of data required for
this analysis. Case –control studies with less than ten matched-
pairs were excluded due to the increased risk of bias (RoB)encountered in studies with sample sizes below this threshold(Dekkers et al., 2019 ).
Study selection",NO,NA,NO,NO,2,
73,2021.0_Can mindfulness help to alleviate loneliness? A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
74,2022.0_Refutation text facilitates learning: A meta-analysis of between-subjects experiments.pdf,NO,NA,NA,NA,NA,NA,NA,3,
75,2022.0_The association between maternal sensitivity-availability and attachment in children with autism Spectrum disorder: A systematic review and Meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
76,2019.0_REGEMA: guidelines for conducting and reporting reliability generalization meta-analyses.pdf,YES,NO,NA,NO,NA,NO,NO,3,
77,2021.0_Surgery and medical treatment in microprolactinoma: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
78,"2021.0_Associations between openness facets, prejudice, and tolerance: A scoping review with meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
79,2021.0_A new approach to social entrepreneurship: A systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
80,2020.0_Acceptance and commitment therapy (ACT) to reduce depression: A systematic review and meta-analysis.pdf,YES,NO,NA,YES,"communicate in English and Chinese. This may have induced study
selection bias. We recommend that future systematic reviews should
include gray literature, unpublished literature and contact experts in
this field for new studies.
4.3. Implications
Practically, ACT can be conducted in research of depressive symp-",NO,NO,1,
81,2020.0_The effectiveness of cognitive and meta-cognitive skills training on Academic procrastination and Psychological well-being in students.pdf,YES,NO,NA,NO,NA,NO,NO,3,
82,2020.0_Dropout rates in clinical trials of smartphone apps for depressive symptoms: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
83,"2021.0_The worldwide seroprevalence of DENV, CHIKV and ZIKV infection: A systematic review and meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
84,2019.0_Teacher attitudes towards inclusive education: a meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
85,2021.0_Meta-analysis of the Parkinson's disease gut microbiome suggests alterations linked to intestinal inflammation.pdf,NO,NA,NA,NA,NA,NA,NA,3,
86,2022.0_Meta-analysis of cognitive functioning in ADHD: An fMRI investigation.pdf,YES,NO,NA,NO,NA,NO,NO,3,
87,2022.0_Structural and functional neuroimaging of late-life depression: a coordinate-based meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
88,2018.0_Research Review: Harnessing the power of individual participant data in a meta?analysis of the benefits and harms of the Incredible Years parenting program.pdf,YES,NO,NA,NO,NA,NO,NO,3,
89,2020.0_The effect of cognitive behavioral therapy on anxiety and depression in Iranian infertile women: a systematic and meta-analytical review.pdf,NO,NA,NA,NA,NA,NA,NA,3,
90,2020.0_Average impact and important features of onboard eco-driving feedback: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
91,2022.0_Personality and intelligence: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
92,2018.0_Comparing numerical comparison tasks: a meta-analysis of the variability of the Weber Fraction relative to the generation algorithm.pdf,NO,NA,NA,NA,NA,NA,NA,3,
93,2021.0_The psychological impact of COVID-19 pandemic lockdowns: a review and meta-analysis of longitudinal studies and natural experiments.pdf,YES,NO,NA,NO,NA,NO,NO,3,
94,2022.0_Effects of extended reality on language learning: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
95,2020.0_A meta-analysis of parental multidimensional perfectionism and child psychological outcomes.pdf,YES,YES,"not included in the final search.  180 
Reference lists within eligible papers were also checked, a long with unpublished 181 
literature (i.e. ‘grey literature’; see Quintana, 2015). Grey literature was searched using the 182 
New York Academy of Medicine grey literature search engine. Electronic databases u sed 183 
also found grey literature, as searches were not fil tered by paper source.  184 
2.2 Eligibility Criteria  185 ",NO,NA,NO,NO,1,
96,"2018.0_Â activity interventions for treatment of social isolation, loneliness or low social support in older adults: A systematic review and meta-analysis of randomised controlled Â.pdf",YES,YES,"EMBASE , PsycINFO, the Cochrane Central , CINAHL.  Databases were searched 
twice, with the second search conducted in February 2017, to ensure that newly published articles were included (Moher et al., 2015)  (Appendix D).  Other resources 
included the grey literature (PQDT Global, 2017; Social care institute for excellence , 
2017; System for Information on Grey Literature in Europe , 2017; World Health 
Organization, 2017) , and a hand search of the reference lists of relevant reviews, 
citation tracking, peer reviewed journal articles, books, dissertation theses and conference proceedings.  Searches of articles were limited to RCTs . No restrictions ",NO,NA,NO,NO,1,
97,2023.0_Competitive scenarios increase competition in women: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
98,2020.0_Response time fluctuations in the sustained attention to response task predict performance accuracy and meta-awareness of attentional states..pdf,YES,NO,NA,NO,NA,NO,NO,3,
99,2021.0_The efficacy of mindfulness meditation apps in enhancing users' well-being and mental health related outcomes: a meta-analysis of randomized controlled trials.pdf,YES,NO,NA,NO,NA,NO,NO,3,
100,2022.0_A meta-analysis of proactive personality and career success: The mediating effects of task performance and organizational citizenship behavior.pdf,NO,NA,NA,NA,NA,NA,NA,3,
101,2021.0_Does an Imitation Strategy Promote Long-Term Firm Growth in a Dynamic Environment? A Meta-Analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
102,"2021.0_Self-regulated learning training programs enhance university students' academic performance, self-regulated learning strategies, and motivation: A meta-analysis.pdf",YES,NO,NA,YES,"""study habits"" OR ""learning style"" OR ""cognitive strategies""). Further, backward and forward 
search was conducted to detect additional literature. 
The literature search encompassed published and unpublished literature written in English
or German recorded by January 2021. The literature search encompassed published studies and 
gray literature of unpublished studies. Only gray literature that was indexed (i.e., traceable using 
online data bases) was included because including literature that has never entered the ",NO,NO,1,
103,"2018.0_A meta-analysis with examination of moderators of student cognition, affect, and learning outcomes while using serious educational games, serious games, and Â.pdf",YES,NO,NA,NO,NA,NO,NO,3,
104,2018_Treatment effect on recidivism for juveniles who have sexually offended: A multilevel meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
105,2018.0_Cultural adaptations and therapist multicultural competence: Two meta?analytic reviews.pdf,YES,NO,NA,NO,NA,NO,NO,3,
106,"2021.0_Training and organisational performance: A meta?analysis of temporal, institutional and organisational context moderators.pdf",YES,NO,NA,NO,NA,NO,NO,3,
107,2019.0_Is impression management through status updates successful? Meta-accuracy and judgment accuracy of big five personality traits based on status updates Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
108,2018.0_A meta-analysis of test scores in proctored and unproctored ability assessments.pdf,YES,NO,NA,NO,NA,NO,NO,3,
109,2022.0_Associations between obstructive sleep apnea and cardiac troponin T levels: a meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
110,2021.0_Exploring the leadershipÂengagement nexus: A moderated meta-analysis and review of explaining mechanisms.pdf,YES,NO,NA,NO,NA,NO,NO,3,
111,2021.0_The effectiveness of technology-based interventions for reducing loneliness in older adults: a systematic review and meta-analysis of randomized controlled Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
112,"2021.0_Do smartphone applications and activity trackers increase physical activity in adults? Systematic review, meta-analysis and metaregression.pdf",NO,NA,NA,NA,NA,NA,NA,3,
113,"2020.0_Leadership, creativity and innovation: a meta-analytic review.pdf",YES,NO,NA,NO,NA,NO,NO,3,
114,2023.0_Aromatherapy with inhalation effectively alleviates the test anxiety of college students: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
115,2018.0_ in children and adolescents with attention-deficit-hyperactivity disorder: a Cochrane systematic review with meta-analysis and trial sequential analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
116,2018.0_Early retirement: a meta-analysis of its antecedent and subsequent correlates.pdf,NO,NA,NA,NA,NA,NA,NA,3,
117,2021.0_The impact of urinary incontinence on falls: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
118,"2018.0_Social value orientation, expectations, and cooperation in social dilemmas: A metaanalysis.pdf",YES,NO,NA,NO,NA,NO,NO,3,
119,2022.0_Efficacy of technology-based interventions in psychosis: a systematic review and network meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
120,2021.0_Efficacy of physiotherapy treatment in primary dysmenorrhea: a systematic review and meta-analysis.pdf,YES,YES,"been included in the search strategy; thus, some studies might have been missed. Likewise
for databases as EMBASE or CINAHL. We are aware that some literature on physiotherapy
may be excluded from the main databases: grey literature sources or studies identiﬁed in
other different languages than English or Spanish were not considered. A high I2statistic
suggests that variations in effect estimates may be due to differences between trials, because
studies evaluated a wide range of physiotherapy interventions. Finally, the risk of bias was",NO,NA,NO,NO,1,
121,2019.0_A comprehensive meta-analysis of money priming..pdf,YES,NO,NA,YES,"Research on money priming typically investigates whether exposure to money-related stimuli can affect people's thoughts, feelings, motivations and behaviors (for a review, see Vohs, 2015). Our study answers the call for a comprehensive meta-analysis examining the available evidence on money priming (Vadillo, Hardwicke & Shanks, 2016). By conducting a systematic search of published and unpublished literature on money priming, we sought to achieve three key goals. First, we aimed to assess the presence of biases in the available published literature (e.g., publication bias). Second, in the case of such biases, we sought to derive a more accurate estimate of the effect size after correcting for these biases",NO,NO,1,
122,2019.0_Inferiority or even superiority of virtual reality exposure therapy in phobias?ÂA systematic review and quantitative meta-analysis on randomized controlled Â.pdf,NO,NA,NA,NA,NA,NA,NA,3,
123,2021.0_Risk factors of postoperative delirium after cardiac surgery: a meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
124,2021.0_Do behavioral observations make people catch the goal?: A meta-analysis on goal contagion.pdf,YES,NO,NA,YES,"estimating the between-study variance in true effect size 
for e = 48 effects (see Figure 1 ) from the published and 
unpublished literature. We opted for the random-effects 
model instead of the equal-effect model, because we 
wanted to estimate the average true effect size in the pop -
ulation from which the effects were randomly sampled ",NO,NO,1,
125,2022.0_Pharmacological interventions for social cognitive impairments in schizophrenia: A protocol for a systematic review and network meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
126,2019.0_Dating violence (DV): A systematic meta-analysis review.pdf,YES,NO,NA,NO,NA,NO,NO,3,
127,2018.0_Effects of mindfulness-based stress reduction on depression in adolescents and young adults: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
128,2019.0_Quantifying the effects of the differential outcomes procedure in humans: A systematic review and a meta?analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
129,2022.0_Â of interventions to increase device-measured physical activity in pregnant women: systematic review and meta-analysis of randomised controlled trials.pdf,NO,NA,NA,NA,NA,NA,NA,3,
130,2022.0_Headache in ADHD as comorbidity and a side effect of medications: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
131,2019.0_Concealed correlations meta-analysis: A new method for synthesizing standardized regression coefficients.pdf,NO,NA,NA,NA,NA,NA,NA,3,
132,2020.0_The effectiveness of mindfulness-based interventions on anxiety disorders: a systematic meta-review.pdf,YES,YES,"electronic data sources, presented a comprehensive summary table (with the main data of studies
selected), and, when applicable, used suitable methods to combine results. The more critical aspect has
to do with the absence of a list of excluded studies, followed by the practical exclusion of grey literature.
Figure 1. Study ﬂow chart.Eur. J. Investig. Health Psychol. Educ. 2020 ,10 713
Table 2. Methodological quality of selected review studies, using the AMSTAR tool.
AMSTAR Items",NO,NA,NO,NO,2,
133,2022.0_Effect of parenting interventions on perinatal depression and implications for infant developmental outcomes: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
134,2019.0_Sweating the small stuff: A meta-analysis of skin conductance on the Iowa gambling task.pdf,NO,NA,NA,NA,NA,NA,NA,3,
135,2021.0_Downsides of face masks and possible mitigation strategies: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
136,2018_Brief mindfulness training for negative affectivity: A systematic review and meta-analysis..pdf,NO,NA,NA,NA,NA,NA,NA,3,
137,2021.0_Meta-analysis in management and quality sciences.pdf,YES,NO,NA,NO,NA,NO,NO,3,
138,2022.0_Meta-analysis of the reduced relative feedback frequency effect on motor learning and performance.pdf,YES,NO,NA,NO,NA,NO,NO,3,
139,2022.0_Early behavioral interventions for children and adolescents with autism spectrum disorder in routine clinical care: A systematic review and meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
140,2018.0_Targeting procrastination using psychological treatments: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
141,2020.0_Relationship between suicide mortality and lithium in drinking water: A systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
142,2022.0_Relation Between the Essential Components of Reading and Reading Comprehension in Monolingual Spanish-Speaking Children: a Meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
143,2021.0_Interventions for improving psychological detachment from work: A meta-analysis..pdf,YES,NO,NA,YES,"analysis was to review and statistically synthesize the state of research on interventions designed to improve
detachment both at work and outside of it. After a systematic search (covering the period 1998 –2020) of the
published and unpublished literature, 30 studies with 34 interventions ( N=3,725) were included. Data
were analyzed using a random-effects model. Interventions showed a signi ﬁcant positive effect on
detachment from work ( d=0.36) on average. Moderator analyses revealed that it did not matter how
the different studies conceptualized detachment but that the context in which detachment was measured",NO,NO,1,
144,2018.0_Effects of constructivist and transmission instructional models on mathematics achievement in Mainland China: A meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
145,2021.0_Mental health after paediatric concussion: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
146,2019.0_Affective problems and decline in cognitive state in older adults: a systematic review and meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
147,2021.0_Environmental impacts and resource use of urban agriculture: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
148,2021.0_A review of methods for addressing components of interventions in meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
149,2021.0_Brain activity during facial processing in autism spectrum disorder: an activation likelihood estimation (ALE) meta?analysis of neuroimaging studies.pdf,YES,NO,NA,NO,NA,NO,NO,3,
150,2023.0_Creativity enhancement methods for adults: A meta-analysis..pdf,YES,NO,NA,NO,NA,NO,NO,3,
151,2021.0_Association between antihypertensive treatment and adverse events: systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
152,"2022.0_Systematic Review and Meta-Analysis of Family Needs Studies: Relationships with Parent, Family and Child Functioning..pdf",YES,NO,NA,NO,NA,NO,NO,3,
153,2018_Physical activity equivalent labeling vs. calorie labeling: a systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
154,2023.0_Effects of physical activity on visuospatial working memory in healthy individuals: A systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
