Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"N Morina, I Kampmann, P Emmelkamp…","Meta-analysis of virtual reality exposure therapy for social anxiety disorder",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/metaanalysis-of-virtual-reality-exposure-therapy-for-social-anxiety-disorder/F31E7D26EF8C24671E3097B98FD3996F","https://scholar.google.com/scholar?cites=13350336786881475583&as_sdt=2005&sciodt=0,5&hl=en",614,"2023-07-31 18:46:22","","","","",,,,,20,20.00,5,4,1,"… (2020) published a meta-analysis on the efficacy of VRET for … the following inclusion criteria for their meta-analyses: (1) a … We critically evaluated the studies in the meta-analysis by …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F31E7D26EF8C24671E3097B98FD3996F/S0033291721001690a.pdf/metaanalysis_of_virtual_reality_exposure_therapy_for_social_anxiety_disorder.pdf","https://scholar.google.com/scholar?q=related:_3PmFZPsRbkJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
1,"AB Speer, LJ Wegmeyer, AP Tenbrink…","Comparing forced-choice and single-stimulus personality scores on a level playing field: A meta-analysis of psychometric properties and susceptibility to faking.",2023,"… Applied Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2023-81995-001","https://scholar.google.com/scholar?cites=13229107000888059086&as_sdt=2005&sciodt=0,5&hl=en",620,"2023-07-31 18:46:22","","","","",,,,,1,1.00,0,4,1,"… New data were not collected for this meta-analysis. The sources of data can be found in the References section and Supplemental Materials. Study code is available upon the authors …","https://www.researchgate.net/profile/Andrew-Speer/publication/371619243_Comparing_forced-choice_and_single-stimulus_personality_scores_on_a_level_playing_field_A_meta-analysis_of_psychometric_properties_and_susceptibility_to_faking/links/6492f2cb95bbbe0c6edf1301/Comparing-forced-choice-and-single-stimulus-personality-scores-on-a-level-playing-field-A-meta-analysis-of-psychometric-properties-and-susceptibility-to-faking.pdf?origin=journalDetail&_tp=eyJwYWdlIjoiam91cm5hbERldGFpbCJ9","https://scholar.google.com/scholar?q=related:zuSQ-7k6l7cJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
4,"LD Murphy, HR Cobb, CW Rudolph…","Commuting demands and appraisals: A systematic review and meta-analysis of strain and wellbeing outcomes",2023,"… Psychology Review","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/20413866221131404","https://scholar.google.com/scholar?cites=5588784464007555496&as_sdt=2005&sciodt=0,5&hl=en",648,"2023-07-31 18:46:22","","10.1177/20413866221131404","","",,,,,4,4.00,1,4,1,"… Third, we summarize the methods and results of our meta-analysis, which provides a … demands and resources in our meta-analysis, nor were we able to meta-analytically test the …","https://psyarxiv.com/kjxph/download?format=pdf","https://scholar.google.com/scholar?q=related:qGlk_9tZj00J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
12,"K Byron, S Keem, T Darden, CE Shalley…","Building blocks of idea generation and implementation in teams: A meta‐analysis of team design and team creativity and innovation",2023,"… Psychology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/peps.12501","https://scholar.google.com/scholar?cites=9379163259574449635&as_sdt=2005&sciodt=0,5&hl=en",655,"2023-07-31 18:46:22","","10.1111/peps.12501","","",,,,,12,12.00,2,5,1,"… , this meta-analysis examines the role of team design on team creativity and innovation. We used random-effects meta-analysis … Examining meta-analytic path models, we found that task …","","https://scholar.google.com/scholar?q=related:43VUqUp7KYIJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
13,"DM Ravid, JC White, DL Tomczak, AF Miles…","A meta‐analysis of the effects of electronic performance monitoring on work outcomes",2023,"… Psychology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/peps.12514","https://scholar.google.com/scholar?cites=14378720762552642151&as_sdt=2005&sciodt=0,5&hl=en",656,"2023-07-31 18:46:22","","10.1111/peps.12514","","",,,,,13,13.00,3,5,1,"… included in each study, to then meta-analyze how the strength of relationships … meta-analytically, and guide the interpretation of meta-analytic results. In conducting this meta-analysis, …","https://osf.io/ef43u/download","https://scholar.google.com/scholar?q=related:Z-p7EFp6i8cJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
5,"N Yunitri, H Chu, XL Kang, BS Wiratama…","Comparative effectiveness of psychotherapies in adults with posttraumatic stress disorder: a network meta-analysis of randomised controlled trials",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/comparative-effectiveness-of-psychotherapies-in-adults-with-posttraumatic-stress-disorder-a-network-metaanalysis-of-randomised-controlled-trials/9A085844AD2E80CE7B5AE0520F0E648D","https://scholar.google.com/scholar?cites=4066901486067781690&as_sdt=2005&sciodt=0,5&hl=en",669,"2023-07-31 18:46:22","","","","",,,,,5,5.00,1,5,1,"… Network meta-analysis (NMA), also called mixed treatment comparisons meta-analysis, has been … We created a RoB contribution matrix using Confidence in Network Meta-Analysis …","","https://scholar.google.com/scholar?q=related:OhCUrVqJcDgJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
24,"E Sella, L Miola, E Toffalini, E Borella","The relationship between sleep quality and quality of life in aging: A systematic review and meta-analysis",2023,"Health psychology review","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17437199.2021.1974309","https://scholar.google.com/scholar?cites=9613205265321693603&as_sdt=2005&sciodt=0,5&hl=en",693,"2023-07-31 18:46:22","","10.1080/17437199.2021.1974309","","",,,,,24,24.00,6,4,1,"… The 23 independent studies analyzed in this systematic review and meta-analysis concerned a total of 21,092 participants considered for the present study (weighted mean age 68.97; …","","https://scholar.google.com/scholar?q=related:oxFqgEH3aIUJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
2,"Y Huang, X Huang, R Yu","The effectiveness of nonfinancial interventions and monetary incentives on COVID-19 vaccination: A meta-analysis.",2023,"Health Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2023-67746-001","https://scholar.google.com/scholar?cites=14257644552561182317&as_sdt=2005&sciodt=0,5&hl=en",708,"2023-07-31 18:46:22","","","","",,,,,2,2.00,1,3,1,"… A data exaction form was specifically developed for this metaanalysis. The form was pilot-tested using three randomly selected articles that meet inclusion criteria, and modified if …","","https://scholar.google.com/scholar?q=related:bUYxKS5U3cUJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
7,"J Tong, J Zhang, N Zhu, Y Pei, W Liu, W Yu…","Effects of COVID-19 pandemic on mental health among frontline healthcare workers: A systematic review and meta-analysis",2023,"… in psychology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.1096857/full","https://scholar.google.com/scholar?cites=9696423484435713727&as_sdt=2005&sciodt=0,5&hl=en",717,"2023-07-31 18:46:22","HTML","10.3389/fpsyg.2022.1096857","","",,,,,7,7.00,1,7,1,"… and meta-analysis. Methods: We conducted a systematic review and meta-analysis according to … characteristics of the 19 studies included in this systematic review and meta-analysis. …","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.1096857/full","https://scholar.google.com/scholar?q=related:v86LBcmdkIYJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
2,"I Cho, B Hu, CM Berry","A matter of when, not whether: A meta-analysis of modesty bias in East Asian self-ratings of job performance.",2023,"Journal of Applied Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/apl/108/2/291/","https://scholar.google.com/scholar?cites=2931538454216073420&as_sdt=2005&sciodt=0,5&hl=en",739,"2023-07-31 18:46:22","","","","",,,,,2,2.00,1,3,1,"… Several criteria needed to be met to be included in the current meta-analysis. First, articles needed to contain self- and supervisor-ratings of at least one dimension of performance (ie, …","https://www.researchgate.net/profile/Inchul-Cho-3/publication/363597650_A_matter_of_when_not_whether_A_meta-analysis_of_modesty_bias_in_East_Asian_self-ratings_of_job_performance/links/63276aea70cc936cd319f3d1/A-matter-of-when-not-whether-A-meta-analysis-of-modesty-bias-in-East-Asian-self-ratings-of-job-performance.pdf","https://scholar.google.com/scholar?q=related:zGDyMLHqrigJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
1,"L Maciel, A Gomis-Pomares, C Day…","Cross-cultural adaptability of parenting interventions designed for childhood behavior problems: A meta-analysis",2023,"Clinical psychology …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272735823000326","https://scholar.google.com/scholar?cites=15312136603247990732&as_sdt=2005&sciodt=0,5&hl=en",767,"2023-07-31 18:46:22","HTML","","","",,,,,1,1.00,0,4,1,"… meta-analyses evaluating the overall effectiveness of these Anglosphere parenting programs in non-Anglosphere settings. This meta-analysis … for our meta-analysis. Standardized mean …","https://www.sciencedirect.com/science/article/pii/S0272735823000326","https://scholar.google.com/scholar?q=related:zFfaDB2jf9QJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
3,"IH Bell, W Marx, K Nguyen, S Grace…","The effect of psychological treatment on repetitive negative thinking in youth depression and anxiety: a meta-analysis and meta-regression",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/effect-of-psychological-treatment-on-repetitive-negative-thinking-in-youth-depression-and-anxiety-a-metaanalysis-and-metaregression/8869A5666A3BE58D4D90256E06288C11","https://scholar.google.com/scholar?cites=13514387430756668748&as_sdt=2005&sciodt=0,5&hl=en",778,"2023-07-31 18:46:22","","","","",,,,,3,3.00,1,5,1,"… meta-analysis was conducted to examine the effect of psychological treatments on RNT, depression and anxiety symptoms in young people with depression or anxiety, and a meta-… Meta…","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8869A5666A3BE58D4D90256E06288C11/S0033291722003373a.pdf/the-effect-of-psychological-treatment-on-repetitive-negative-thinking-in-youth-depression-and-anxiety-a-meta-analysis-and-meta-regression.pdf","https://scholar.google.com/scholar?q=related:TFVBF8S_jLsJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
15,"C Torgal, DL Espelage, JR Polanin…","A meta-analysis of school-based cyberbullying prevention programs' impact on cyber-bystander behavior",2023,"School psychology …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/2372966X.2021.1913037","https://scholar.google.com/scholar?cites=10654502639634822942&as_sdt=2005&sciodt=0,5&hl=en",792,"2023-07-31 18:46:22","","10.1080/2372966X.2021.1913037","","",,,,,15,15.00,4,4,1,"… Findings of the current meta-analysis provide important … Similarly, a more recent meta-analysis has synthesized effect … the aforementioned meta-analyses, this meta-analysis tested the …","","https://scholar.google.com/scholar?q=related:HjflZbNl3JMJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
13,"NK Reimer, NK Sengupta","Meta-analysis of the “ironic” effects of intergroup contact.",2023,"… of Personality and Social Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2022-82516-001","https://scholar.google.com/scholar?cites=6709962233029270234&as_sdt=2005&sciodt=0,5&hl=en",793,"2023-07-31 18:46:22","","","","",,,,,13,13.00,7,2,1,"… Of all the samples, 55% (I = 77) were collected with the intention to examine the effects of intergroup contact on the outcomes considered in this meta-analysis. Many studies instead …","https://psyarxiv.com/vrsqe/download","https://scholar.google.com/scholar?q=related:2hr_mxmTHl0J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
3,"D Papola, G Ostuzzi, F Tedeschi, C Gastaldon…","CBT treatment delivery formats for panic disorder: a systematic review and network meta-analysis of randomised controlled trials",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/cbt-treatment-delivery-formats-for-panic-disorder-a-systematic-review-and-network-metaanalysis-of-randomised-controlled-trials/161ACD452BAF232E7AF4F68881ECECC8","https://scholar.google.com/scholar?cites=8706778125118668412&as_sdt=2005&sciodt=0,5&hl=en",804,"2023-07-31 18:46:22","","","","",,,,,3,3.00,1,5,1,"… Pairwise meta-analyses have quantitatively summarised the results of trials that tested the … Network meta-analysis (NMA) may overcome this limit by providing a global estimate of …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9975966/","https://scholar.google.com/scholar?q=related:fP7WBZOw1HgJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
5,"J Luan, M Yang, Y Zhao, Y Zang, Z Zhang…","Aromatherapy with inhalation effectively alleviates the test anxiety of college students: A meta-analysis",2023,"… in Psychology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.1042553/full","https://scholar.google.com/scholar?cites=13950021702934446750&as_sdt=2005&sciodt=0,5&hl=en",810,"2023-07-31 18:46:22","HTML","10.3389/fpsyg.2022.1042553","","",,,,,5,5.00,1,6,1,"… This meta-analysis evaluated the effects of aromatherapy on the … Review Manager 5.4 was used for the meta-analysis. Stata … The meta-analysis found that aromatherapy effectively …","https://www.frontiersin.org/articles/10.3389/fpsyg.2022.1042553/full","https://scholar.google.com/scholar?q=related:nsJlFNRumMEJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
3,"CA McComb, EJ Vanman, SJ Tobin","A meta-analysis of the effects of social media exposure to upward comparison targets on self-evaluations and emotions",2023,"Media Psychology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15213269.2023.2180647","https://scholar.google.com/scholar?cites=10889476538621827994&as_sdt=2005&sciodt=0,5&hl=en",825,"2023-07-31 18:46:22","","10.1080/15213269.2023.2180647","","",,,,,3,3.00,1,3,1,"… (Citation2018), this meta-analysis aimed to test social comparison theory by examining the … With the purpose of providing evidence of causation, the current meta-analysis will be …","","https://scholar.google.com/scholar?q=related:mhuBijcxH5cJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
1,"E Puente-López, D Pina, R López-Nicolás…","The Inventory of Problems–29 (IOP-29): A systematic review and bivariate diagnostic test accuracy meta-analysis.",2023,"Psychological …","psycnet.apa.org","https://psycnet.apa.org/record/2023-37730-001","https://scholar.google.com/scholar?cites=12732678965097916799&as_sdt=2005&sciodt=0,5&hl=en",841,"2023-07-31 18:46:22","","","","",,,,,1,1.00,0,4,1,"… Our objective is to conduct a systematic review and bivariate DTA meta-analysis of the sensitivity and specificity of the IOP-29 according to the relevant guidelines (Deeks et al., 2021; …","","https://scholar.google.com/scholar?q=related:f-m_4Q6Qs7AJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
